DATE,VALUE
2005-03-01,176.400
2005-04-01,176.900
2005-05-01,170.700
2005-06-01,162.000
2005-07-01,160.000
2005-08-01,161.800
2005-09-01,169.200
2005-10-01,168.000
2005-11-01,173.900
2005-12-01,173.800
2006-01-01,174.700
2006-02-01,177.200
2006-03-01,178.100
2006-04-01,180.700
2006-05-01,183.700
2006-06-01,189.000
2006-07-01,193.900
2006-08-01,192.200
2006-09-01,195.300
2006-10-01,194.900
2006-11-01,189.000
2006-12-01,189.600
2007-01-01,190.000
2007-02-01,195.900
2007-03-01,205.500
2007-04-01,209.200
2007-05-01,205.800
2007-06-01,205.300
2007-07-01,204.300
2007-08-01,200.500
2007-09-01,199.800
2007-10-01,198.000
2007-11-01,197.800
2007-12-01,200.600
2008-01-01,210.000
2008-02-01,215.200
2008-03-01,224.000
2008-04-01,250.600
2008-05-01,270.600
2008-06-01,284.100
2008-07-01,293.100
2008-08-01,294.400
2008-09-01,274.000
2008-10-01,236.000
2008-11-01,209.400
2008-12-01,195.600
2009-01-01,191.600
2009-02-01,185.400
2009-03-01,179.800
2009-04-01,168.900
2009-05-01,169.200
2009-06-01,171.100
2009-07-01,178.200
2009-08-01,187.000
2009-09-01,193.700
2009-10-01,196.100
2009-11-01,191.300
2009-12-01,195.700
2010-01-01,205.600
2010-02-01,210.800
2010-03-01,220.600
2010-04-01,232.000
2010-05-01,235.500
2010-06-01,233.500
2010-07-01,224.800
2010-08-01,221.900
2010-09-01,224.100
2010-10-01,222.700
2010-11-01,222.600
2010-12-01,228.300
2011-01-01,239.800
2011-02-01,248.700
2011-03-01,253.300
2011-04-01,257.500
2011-05-01,256.600
2011-06-01,256.400
2011-07-01,256.900
2011-08-01,256.500
2011-09-01,256.900
2011-10-01,255.200
2011-11-01,248.900
2011-12-01,252.100
2012-01-01,256.500
2012-02-01,253.800
2012-03-01,253.400
2012-04-01,252.300
2012-05-01,250.500
2012-06-01,239.000
2012-07-01,232.100
2012-08-01,233.200
2012-09-01,233.700
2012-10-01,224.800
2012-11-01,228.900
2012-12-01,230.300
2013-01-01,228.000
2013-02-01,226.000
2013-03-01,228.800
2013-04-01,228.100
2013-05-01,223.300
2013-06-01,222.200
2013-07-01,225.300
2013-08-01,225.200
2013-09-01,223.900
2013-10-01,224.900
2013-11-01,228.900
2013-12-01,232.500
2014-01-01,238.000
2014-02-01,234.900
2014-03-01,231.300
2014-04-01,234.600
2014-05-01,233.500
2014-06-01,232.600
